full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,diameter,H
"  2410 Morrison (1981 AF)",2.21574750417558,.06300742565009305,2.396451788346833,126.5246623193943,62.43228228870073,2.076138958046858,2.355356050304302,3.29828823346707,23123,0,6.385,12.7
"  2839 Annette (1929 TP)",2.216141849803727,.1503308186550279,4.808378998809149,44.56774705804558,6.86910777155509,1.882987431267065,2.549296268340389,3.29916878737422,32023,0,7.313,12.9
"  1120 Cannonia (1928 RV)",2.216251565556943,.155934185026308,4.049057353542901,158.6662155643827,219.7804298554398,1.870662183868542,2.561840947245345,3.2994137910516,27361,0,10.184,12.0
"  2056 Nancy (A909 TB)",2.217532956175576,.1387694892306219,3.936065152363464,225.7720158336439,145.7973870958977,1.90980704049502,2.525258871856132,3.30227568340016,39345,0,7.783,12.3
"  2383 Bradley (1981 GN)",2.217816283722093,.1048759956712237,3.567182502238672,14.4189947870338,184.4644781888728,1.985220592750885,2.450411974693301,3.3029085864307,32606,0,5.823,13.0
"  3314 Beals (1981 FH)",2.218430280140698,.04488178823149837,7.406258433130686,359.4375834937161,46.59314344929345,2.118863162101079,2.317997398180316,3.30428028327361,32604,0,6.776,12.8
"  1707 Chantal (1932 RL)",2.218629342371667,.1711293996685848,4.031957350683045,6.116867528387263,43.02330386191304,1.838956634924496,2.598302049818837,3.30472503840019,40343,0,7.459,12.54
"   935 Clivia (1920 HM)",2.219028636044893,.1460545097896308,4.024203868818656,346.498555672374,58.0427898245719,1.894929496398203,2.543127775691584,3.30561722111662,35630,0,6.411,12.8
"  6555 (1989 UU1)",2.219233363370407,.09594253417668774,6.681958179913106,280.2143717457931,182.5708284703751,2.006314490559196,2.432152236181618,3.30607469546205,31550,0,6.475,12.8
"   641 Agnes (1907 ZX)",2.219765888701273,.1283971222555802,1.711827494892681,41.01931434505303,17.69367330750904,1.934754336510929,2.504777440891617,3.30726475111057,40346,0,9.446,12.4
"  4729 Mikhailmil'' (1980 RO2)",2.219849243829079,.1751366786748118,2.283443966397518,251.7680278822719,127.9530446209693,1.831072220106061,2.608626267552097,3.3074510410694,25668,0,5.989,12.6
"  1382 Gerti (1925 BB)",2.219964791799997,.1317860323506735,1.561926560789334,353.0420186561671,246.9147926078055,1.927404439930486,2.512525143669507,3.30770928443721,34033,0,11.939,12.0
"  2896 Preiss (1931 RN)",2.220437736290424,.1869478028236848,5.999400259519798,171.6669986359362,121.1928303946771,1.805331780184133,2.635543692396715,3.30876635944355,31546,0,7.117,12.6
"  3533 Toyota (1986 UE)",2.220711749711993,.1166904097448503,4.86928124360322,197.1829110581645,237.7844101793888,1.961575985712897,2.479847513711089,3.30937885648443,23508,0,,12.8
"  2609 Kiril-Metodi (1978 PB4)",2.221159961742992,.08768795743480452,5.71768157424675,303.8461312129497,245.0503807072944,2.026390981561781,2.415928941924204,3.3103808178563,25727,0,5.626,12.8
"  3385 Bronnina (1979 SK11)",2.221175322344592,.04112761568479571,6.803355518365449,197.6900076825083,67.8163375320176,2.129823677318651,2.312526967370533,3.31041515770327,31786,0,7.689,12.3
"  5448 Siebold (1992 SP)",2.221306707082571,.1448162847994941,4.842144594505542,321.1734791625522,206.3361801616848,1.899625322362675,2.542988091802467,3.31070888358935,31518,0,6.406,12.8
"  2195 Tengstrom (1941 SP1)",2.221842020997734,.1061046553193325,4.574713853307102,100.9605708056766,295.5149769232233,1.98609423918576,2.457589802809708,3.31190572999927,31521,0,8.627,12.4
"   871 Amneris (1917 BY)",2.222244735979761,.1197987766482084,4.250543159481018,158.0236041682918,66.38645200589201,1.956022535196465,2.488466936763058,3.31280620884436,40378,0,8.011,12.6
"  5452 (1937 NN)",2.222299933845903,.2222052463031642,6.154772836052087,299.7826314575292,312.7464239878036,1.728493229686169,2.716106638005638,3.31292963874805,22688,0,6.619,12.9
"  1704 Wachmann (A924 EE)",2.222563388346952,.08704318571328322,.9715529026943234,259.467881796847,280.7033259580123,2.029104390575524,2.41602238611838,3.313518779808,34087,0,6.618,12.9
"  1449 Virtanen (1938 DO)",2.22285743449027,.1420178130936337,6.641170398752302,110.7686963118678,132.0685461102605,1.907172082825037,2.538542786155503,3.3141763716106,32845,0,9.263,12.0
"  2402 Satpaev (1979 OR13)",2.222955280276144,.1302937971028651,5.167778317720794,337.7094835379813,64.43020855462645,1.933317996019101,2.512592564533186,3.31439519924776,41738,0,7.437,12.8
"  1905 Ambartsumian (1972 JZ)",2.223364185926043,.1624102823996411,2.615801862760144,201.3689723571189,61.56622334605954,1.862266980612546,2.58446139123954,3.31530975020009,31404,0,8.008,12.7
"  1415 Malautra (1937 EA)",2.223601855405131,.08653899494854721,3.424627939332452,329.2031151816814,240.6985753097474,2.031173585672646,2.416030125137615,3.31584135609026,40348,0,7.375,12.19
"  1810 Epimetheus (4196 P-L)",2.223797208331401,.09173814415667061,4.031643623512405,254.1219604637392,203.7108572788091,2.019790179458293,2.427804237204509,3.31627833193912,24662,0,7.669,12.6
"  1793 Zoya (1968 DW)",2.224229517147472,.09779771997595847,1.509028041999644,225.9856962665099,323.3410909701318,2.006704941667222,2.441754092627722,3.31724541159994,30810,0,8.348,12.2
"  3640 Gostin (1985 TR3)",2.224272606024571,.08685386977944502,4.311820230740405,289.1870804318806,155.5897996056423,2.031085922746926,2.417459289302216,3.31734180705127,22511,0,7.148,12.5
"  3738 Ots (1977 QA1)",2.224462651920278,.1684143635508693,1.248089467060501,356.8953094162794,269.6027770941721,1.849831190154446,2.599094113686111,3.31776697570629,23722,0,7.036,12.9
"  2812 Scaltriti (1981 FN)",2.224530731711278,.09186152519949438,6.814878528348411,68.18318306284431,100.7857976967248,2.020181945843133,2.428879517579424,3.31791928750862,14745,0,5.986,13.0
"  1593 Fagnes (1951 LB)",2.224630960127337,.2809797989904964,9.978966262872099,120.0199104806582,185.2915446667365,1.599554600122723,2.84970732013195,3.31814352820074,24141,0,6.095,13.0
"  2831 Stevin (1930 SZ)",2.224949992211287,.1983301820222537,4.219090112753126,81.93185910911694,273.037303678556,1.783675255265611,2.666224729156964,3.31885733121955,31938,0,5.453,12.5
"  2633 Bishop (1981 WR1)",2.225015594888766,.1387048614392597,3.127092164118128,62.40694065897678,266.6637609708365,1.916395115099528,2.533636074678004,3.31900411712447,23185,0,6.969,13.0
"  2033 Basilea (1973 CA)",2.225119516326174,.1116490267055205,8.463066583465981,321.7244184036901,134.5130540546396,1.976687088024898,2.47355194462745,3.31923664563356,23511,0,5.710,12.8
"  1518 Rovaniemi (1938 UA)",2.225318602101958,.1437467546042053,6.713684486978215,27.80394888865471,37.0575840020838,1.905436275089434,2.545200929114481,3.31968212344627,32529,0,8.480,12.4
" 14257 (2000 AR97)",2.225443533824594,.1399237013824198,5.168913495056144,55.2650430056466,4.359230030719758,1.914051237354284,2.536835830294903,3.31996168302938,27271,0,7.202,12.7
"  2478 Tokai (1981 JC)",2.225444292011518,.06866962836234036,4.139847843756383,228.7977724024823,233.7737903774019,2.072623859537996,2.378264724485041,3.31996337964741,30959,0,9.238,12.1
"  2411 Zellner (1981 JK)",2.225445526174386,.08652428857492159,1.616009120822234,130.9987214749562,129.6974978976816,2.032890435259905,2.418000617088866,3.31996614137196,23606,0,8.050,12.75
"  3220 Murayama (1951 WF)",2.225474942212507,.1745066023843519,6.615368179530322,26.70459969183699,25.94967465640403,1.83711487135549,2.613835013069524,3.32003196678005,27831,0,5.390,13.0
"  3680 Sasha (1987 MY)",2.225645404923543,.06340540415496278,5.50425022601721,26.09035816338498,95.40583557837765,2.08452745851873,2.366763351328356,3.32041342635716,31428,0,,12.9
"  1823 Gliese (1951 RD)",2.225852362922522,.1353243090261267,2.891707330593052,310.0064586684202,296.7317851324064,1.92464042991586,2.527064295929184,3.32087657432206,25195,0,8.439,12.6
"  1814 Bach (1931 TW1)",2.226039965813756,.13093358660956,4.346643835437842,20.311516152881,65.49360455416583,1.934576569153538,2.517503362473973,3.32129642640946,31430,0,7.516,12.9
"  1807 Slovakia (1971 QA)",2.22604663357985,.1784333447386498,3.491850112035114,236.3469299538985,140.5242411801726,1.828845687205986,2.623247579953714,3.32131134908243,32402,0,9.135,12.4
"  1401 Lavonne (1935 UD)",2.226563329330792,.1791601783944674,7.290684109473611,277.4971744966911,71.15078194866483,1.827651846041308,2.625474812620276,3.32246779860254,29842,0,9.304,12.25
"  2162 Anhui (1966 BE)",2.227144806728258,.1243405295972568,3.048253853133415,128.5973856581807,285.6476408138418,1.950220441969886,2.50406917148663,3.32376940051401,39809,0,7.332,12.6
"  1376 Michelle (1935 UH)",2.227906227453552,.2149745748198057,3.550804099376177,163.4519618678458,156.1017297320952,1.748963033468327,2.706849421438777,3.32547405159595,29835,0,7.053,12.4
"  3116 Goodricke (1983 CF)",2.227918194905061,.1996836536613274,5.469145598357636,80.3243870041069,271.0240627023807,1.78303934968787,2.672797040122253,3.32550084637466,25042,0,7.776,12.5
"  2571 Geisei (1981 UC)",2.2282436969189,.1942959870993552,2.872257477316254,66.91480185771535,284.7814791795423,1.795304888328126,2.661182505509674,3.32622966359145,31427,0,6.582,13.0
"   296 Phaetusa",2.228506587238422,.160802148863619,1.747405305923413,121.5834094159488,252.5301856285932,1.870157939253754,2.586855235223091,3.32681832858222,35567,0,8.196,12.62
"  1736 Floirac (1967 RA)",2.228559666021526,.169881411065235,4.550129058057584,159.7992871198076,248.905859994145,1.849968805314721,2.607150526728331,3.32693718700581,33081,0,8.617,12.3
"  1130 Skuld (1929 RC)",2.228742041460703,.1980636525864585,2.167853834282039,216.1309837254433,113.7701868516031,1.787309252055996,2.670174830865411,3.32734558803708,40680,0,10.125,12.0
"  1131 Porzia (1929 RO)",2.228776767258715,.2862477440518668,3.229058644015718,100.6982416968909,248.0054532272216,1.590794445635695,2.866759088881734,3.32742335287845,32340,0,,12.9
"  2545 Verbiest (1933 BB)",2.22878562419041,.1262367280008829,5.967842576307188,322.6452886541587,106.326035418009,1.947431019577207,2.510140228803613,3.32744318716002,30811,0,6.883,12.7
"  1729 Beryl (1963 SL)",2.229429044669525,.1006342390949808,2.442232596911248,9.067108794995148,262.4204142505798,2.005072149142957,2.453785940196092,3.32888417339119,30837,0,9.037,12.5
"  3181 Ahnert (1964 EC)",2.229449930560984,.06538164161175521,3.958544090911016,221.1351669149387,304.8183721095764,2.083684834209693,2.375215026912274,3.32893095232537,31454,0,7.961,12.6
"  3068 Khanina (1982 YJ1)",2.229455971032338,.1022915465183032,6.443388535105769,21.55211816291289,132.9871788492421,2.001401471860975,2.457510470203701,3.32894448144218,22504,0,6.515,12.9
"  5978 Kaminokuni (1992 WT)",2.229659501985134,.1121860922288744,6.660996243037035,58.62397789718451,205.2019953827635,1.979522715456443,2.479796288513824,3.32940034963213,24128,0,6.133,13.0
"  1577 Reiss (1949 BA)",2.230125339729016,.1667288157821004,4.355421655425899,123.5482146916818,266.5354004082774,1.858299182790343,2.601951496667688,3.33044381031715,31433,0,5.615,12.7
"  2820 Iisalmi (1942 RU)",2.230196882847158,.1613885918523196,2.946351936062666,216.7526537830467,159.9877120514559,1.870268548371022,2.590125217323294,3.3306040741205,31977,0,6.826,12.9
"  1549 Mikko (1937 GA)",2.230471505138942,.08429671238119327,5.548414317230345,85.28712464068866,6.64889935087087,2.042450090195797,2.418492920082087,3.33121927963507,25677,0,10.376,12.3
"  5121 Numazawa (1989 AX1)",2.230653842673711,.1710284005492365,6.453403273549727,358.2971311488801,21.07789023630283,1.849148683782219,2.612159001565205,3.33162777088229,27741,0,7.241,13.0
"   553 Kundry (1904 PP)",2.230860280393653,.1102714622443388,5.389805397160201,72.37267579796658,354.376887238277,1.984860055211829,2.476860505575476,3.33209027398786,41364,0,9.010,12.2
"  2635 Huggins (1982 DS)",2.23159087442524,.0783994944522283,4.166878262417907,276.9374262276696,271.2280847687305,2.056635278046095,2.406546470804384,3.3337272688666,30370,0,8.458,12.7
"  2094 Magnitka (1971 TC2)",2.232487169572018,.09628771567050635,5.028693986043178,281.9262422143192,251.6040290023284,2.017526079750214,2.447448259393822,3.33573590558248,27742,0,10.121,12.0
"  4150 Starr (1984 QC1)",2.232872960309046,.1661056517209055,3.194792418698609,122.9140886879861,197.4207149801405,1.861980142026924,2.603765778591168,3.33660060368187,21922,0,6.641,12.8
"  1225 Ariane (1930 HK)",2.232885609688679,.07492409813663392,3.073937222427853,12.37922870852318,100.6021606442888,2.065588669140487,2.400182550236871,3.33662895683154,32374,0,9.194,12.0
"  1967 Menzel (A905 VC)",2.232936220537098,.1390812894669093,3.900882715069866,57.80099055884851,347.9280976470233,1.922376571687431,2.543495869386764,3.3367424001122,40788,0,9.588,12.1
"  3301 Jansje (1978 CT)",2.233381726898452,.15243362024286,5.067151494537562,136.9550104874538,117.8791809975327,1.89293926488307,2.573824188913833,3.3377410498473,33916,0,,13.0
"  1601 Patry (1942 KA)",2.233734710595756,.129574811348213,4.940086211142383,74.66850461397463,196.7403788512224,1.944298956868355,2.523170464323156,3.33853237095,27647,0,7.548,12.32
"  2815 Soma (1982 RL)",2.233776514421318,.1686815935986033,5.703430383306904,119.8463395206092,237.5629256435996,1.856979532225597,2.61057349661704,3.3386260911737,22865,0,6.641,12.7
"  1472 Muonio (1938 UQ)",2.233909608601007,.1982536464130831,4.567191123027419,45.19637957088194,319.0467444043784,1.791028882938634,2.67679033426338,3.33892448157905,31347,0,8.388,12.3
"  1270 Datura (1930 YE)",2.234191060916725,.2086347106957186,5.985901700812591,97.80153491012867,258.9834342497633,1.768061255283403,2.700320866550046,3.33955551268011,31847,0,8.203,12.5
"  1622 Chacornac (1952 EA)",2.234415934295776,.1631184205426172,6.460562254408183,4.359488584818392,256.5494195065608,1.869941536258193,2.598890332333359,3.34005971935392,31853,0,8.426,12.2
"  3260 Vizbor (1974 SO2)",2.234617081214993,.09226051405737147,5.223450464215278,249.3215765304777,259.4256012274718,2.028450160580715,2.440784001849272,3.34051074852368,24077,0,7.673,12.7
