full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
" 75940 (2000 CL82)",2.91851079354998,.05801537124343866,2.500355796675569,29.28375519561761,173.3068250823589,2.749192306384195,3.087829280715765,4.98597570463903,6868,0,704,,,14.7
" 76306 (2000 ES136)",2.875112111021445,.1439549565378336,3.228565260747474,44.75048765314691,116.51332435965,2.461225472037954,3.288998750004937,4.8751768920986,6914,0,526,,,14.9
" 76510 (2000 GJ33)",2.889963604820728,.1772340793366507,2.100720163373865,356.9599851058325,126.8961745715567,2.377763566003898,3.402163643637559,4.9129999806399,6888,0,549,,,14.7
" 78651 (2002 TM57)",2.861694196219453,.146468977675291,1.000876953667419,80.11417444083851,210.7516861529922,2.442544772879876,3.280843619559029,4.84108865923582,7974,0,679,,,15.0
" 78945 (2003 SY189)",3.047688234993753,.1336311752514296,2.868301687363876,57.305676456569,8.771346218313207,2.640422074351583,3.454954395635923,5.32064165348899,8094,0,747,,,15.0
" 81951 (2000 PS10)",3.104647758338468,.1703311805766079,17.46306214997261,119.7838589476956,194.9263239326676,2.575829440386157,3.633466076290778,5.47049597834488,9432,0,358,,,14.7
" 82677 (2001 PW23)",2.911107453099028,.1346197630053294,15.41057149606173,116.0330627345115,179.219285635769,2.519214857679789,3.303000048518268,4.96701597179224,8290,0,388,,,15.0
" 83594 (2001 SS253)",2.864702568841924,.07358973340814901,3.409169341631396,114.7351573606411,155.7644608341241,2.653889870507207,3.075515267176641,4.84872449896166,9644,0,649,,,15.1
" 83714 (2001 TU86)",2.944587224551467,.1463643157582165,13.65869013220853,208.919330543832,44.73813415482169,2.513604730239606,3.375569718863328,5.05294810017658,7757,0,545,,,14.7
" 85309 (1994 WO4)",3.097639082460859,.1362745989702632,6.765565958533899,142.2463878320915,198.5384565437847,2.675509558743891,3.519768606177826,5.45198214541889,8492,0,430,,,15.0
" 86082 (1999 RA74)",2.860555208835101,.1500762038570614,14.74967971504619,352.8545355217865,45.94430107134301,2.431253942169586,3.289856475500617,4.83819873293233,8840,0,363,,,15.0
" 86132 (1999 RJ165)",3.066783239613148,.1920263079272214,3.103406942093217,208.8307986611206,95.97538885605624,2.477880176897152,3.655686302329145,5.37072386711877,7632,0,510,,,15.1
" 87151 (2000 NZ18)",2.865674217846199,.1616689983673652,3.806934708185716,117.3409673424458,224.0096380676823,2.402383537399821,3.328964898292576,4.85119159162823,8845,0,646,,,15.0
" 87296 (2000 PK23)",2.924158468497905,.1152714711290645,.915023215086022,283.3447954646966,68.53948572766116,2.587086420019639,3.261230516976171,5.00045541220519,6414,0,824,,,14.7
" 87329 (2000 QO17)",2.939618018800109,.1219988990338251,1.177728130407856,349.8650033677678,346.7651508522015,2.580987856926501,3.298248180673716,5.04016267025578,8195,0,674,,,15.0
" 89474 (2001 XA23)",2.842814857344771,.2076578059998648,5.613314468710546,43.43598477347826,319.9442469351509,2.252482161204737,3.433147553484805,4.79326088351293,9303,0,689,,,15.1
" 90362 (2003 HZ51)",3.026923250271218,.07745682616242651,10.36167992455578,91.9402097598005,253.2514304982403,2.792467382267954,3.261379118274483,5.26635724355825,6299,0,292,,,15.1
" 90658 (2455 T-3)",3.123882291697497,.2710188382882173,16.96164428330171,212.9912751373725,202.7830786121076,2.277251342052508,3.970513241342487,5.52141250002047,14324,0,369,,,14.9
" 91629 (1999 TR58)",3.196814646870567,.1920440744601556,2.735010917402055,152.0743484221225,152.1349673286603,2.58288533679164,3.810743956949494,5.71589690216812,6658,0,211,,,15.9
" 91646 (1999 TB95)",2.89151890993637,.1842112574761401,7.610498387308883,108.2159126830322,312.6363357238188,2.358868575520954,3.424169244351787,4.9169665921787,7299,0,490,,,15.2
" 91688 (1999 TH127)",2.866100026289889,.06017431737018408,3.166176508780842,119.92084969,298.9822125378678,2.693634413693228,3.03856563888655,4.85227288432786,20682,0,655,,,15.1
" 91833 (1999 TW304)",2.854729447674207,.1259480142228125,1.762554028365253,319.3126067509646,114.9409618790096,2.495181942596254,3.214276952752159,4.82342616303822,8775,0,470,,,15.5
" 92270 (2000 CU29)",3.11064483630332,.3193740922183008,12.85762107296861,322.2763697979035,72.81913806701635,2.117185465495402,4.104104207111238,5.48635421632227,10787,0,488,,,14.7
" 96008 (2004 OA5)",3.210653601453512,.2215997169581876,7.226943255837369,320.6296625721976,309.7320361245607,2.499173672120628,3.922133530786395,5.75305306817011,7075,0,388,,,14.7
" 96026 (2004 PO27)",3.104192102370603,.221361138777476,8.012746464749421,21.84430982010545,275.2643474871699,2.417044603605799,3.791339601135408,5.46929170033717,6684,0,300,,,15.4
" 96064 (4772 P-L)",2.880443079663632,.1511966465529577,2.383983799227714,4.564134549997925,356.2179711902335,2.444929745431817,3.315956413895448,4.88874234154582,20673,0,540,,,15.4
" 96166 (1981 EW15)",2.899424796389435,.2738565453043344,10.66391968773446,343.0198909624095,153.6516963029348,2.105398338280501,3.693451254498369,4.93714605838352,12905,0,211,,,15.2
" 96584 (1998 VG53)",3.092943410700002,.2998198867354236,8.961551981957218,327.4297023472387,91.61167063190466,2.165617467624853,4.020269353775151,5.43958995889423,6817,0,582,,,14.8
" 96955 (1999 TP177)",2.90488798331472,.08267746938196004,3.363101959689609,80.01860604193237,326.9028683786264,2.664719196016194,3.145056770613247,4.95110671713501,8219,0,629,,,15.2
" 97239 (1999 XP81)",2.845368707220076,.1651690445564101,3.297555700717627,108.8036495614071,5.930622771541227,2.375401876437829,3.315335538002323,4.79972139087423,20009,0,464,,,15.3
" 97245 (1999 XW92)",2.973152005847991,.1554617157476195,2.570917813065148,140.4530308040201,303.2451988124886,2.510940693840386,3.435363317855596,5.1266524054599,6300,0,539,,,15.0
" 97314 (1999 XV206)",2.871740522966121,.1800206676910431,15.38695023999901,72.45184860038745,29.76826936085584,2.354767876586335,3.388713169345908,4.86660386899369,5652,0,352,,,14.9
" 97373 (2000 AE63)",2.967941795290823,.2246686322712064,9.607157885801879,330.7821867791823,104.6749414255104,2.301138371482285,3.634745219099361,5.11318224005029,6435,0,409,,,14.9
" 97381 (2000 AO72)",2.888948387801896,.1070043617657781,12.2863804494887,100.3098110736993,352.0461637494362,2.57981830939088,3.198078466212911,4.91041137202135,6030,0,388,,,15.1
" 97403 (2000 AQ131)",3.009440450651054,.09864247146426908,9.136148937408763,41.04989188440775,42.608676548192,2.712581806874291,3.306299094427818,5.22079731954875,7690,0,558,,,14.7
" 97405 (2000 AW135)",2.947387178632524,.07240519370068092,7.104840304077349,87.97245909919188,12.01135229144064,2.733981039052733,3.160793318212316,5.06015694694341,6000,0,417,,,14.9
" 97458 (2000 CC18)",2.994608563279902,.2021787122602308,7.126068818159914,284.6669279841632,128.1527357727561,2.389162460232511,3.600054666327293,5.18224922758168,6828,0,485,,,15.1
" 97533 (2000 DW29)",2.9427651189224,.07426653418699906,.7467233947622001,225.2155860326195,320.4322961635638,2.724216152613641,3.161314085231159,5.04825869211633,6875,0,329,,,15.6
"100198 (1994 EA1)",3.141508672629973,.2440963630689626,15.79588081064781,353.5672357463079,84.14342176583769,2.374677831091393,3.908339514168554,5.56820988226114,8421,0,427,,,14.8
"100210 (1994 LD1)",3.000929348160591,.4076215181218777,16.11409251128164,7.532166142460646,306.6379380047575,1.777685971486874,4.224172724834308,5.1986653102354,8620,0,444,,,15.0
"100285 (1995 CG3)",2.879184198110703,.1134171031048525,8.838956316026419,149.1092044992882,105.0577747867365,2.552635467055719,3.205732929165687,4.88553779545647,8333,0,461,,,15.1
"101146 (1998 RK70)",3.089500394977599,.2676176194061898,5.035174444646508,78.43305734522259,340.1939299301243,2.262695654119211,3.916305135835987,5.43050958873967,8536,0,464,,,15.4
"101179 (1998 SA9)",3.031168873760636,.1817421983941529,.9319373516155918,61.78042774107885,1.247133541629582,2.480277578939449,3.582060168581823,5.27744117596474,14408,0,306,,,16.1
"101508 (1998 XB20)",2.978989558138581,.201019729875828,2.984857945083191,75.6030537158466,23.08898991843609,2.380153881858651,3.577825234418512,5.14175848808522,6459,0,294,,,16.3
"101552 (1999 AP1)",2.967456332007233,.1582227483172937,10.05594664845602,70.39080364350581,45.72890335067552,2.497937235645493,3.436975428368973,5.1119277541626,6386,0,374,,,15.2
"101750 (1999 FA17)",3.048786092015518,.1271403365433804,7.324190281632091,170.0442366099208,68.58123887733784,2.661162402227887,3.436409781803148,5.32351686382803,6804,0,378,,,15.0
"102379 (1999 TR146)",2.873873988856,.07852883232908521,2.473562426367969,142.1562094469011,217.5881273504762,2.648192020250208,3.099555957461792,4.87202810287407,20675,0,676,,,15.2
"102713 (1999 VT93)",2.885859068188888,.1024397085267272,1.627364560456334,200.9225610439642,192.6160517926219,2.590232506394406,3.181485629983371,4.90253699773021,7805,0,481,,,15.6
"103471 (2000 AF212)",3.14765577480345,.1660741105240674,9.928676954009854,321.0641976657252,89.63260928478148,2.624911641767023,3.670399907839877,5.58456114711956,6710,0,236,,,15.5
"103765 (2000 CZ139)",3.024483108163189,.08232625246325109,.1552579749761445,122.6739908953137,335.7956683743973,2.775488748229708,3.27347746809667,5.25999034781373,6350,0,184,,,16.1
"104082 (2000 EQ30)",2.861709713355466,.1089899366846799,9.189167115192332,111.15583711,10.33465931171559,2.54981215288692,3.173607273824012,4.84112803447713,6574,0,446,,,15.1
"104149 (2000 ET67)",3.087662953349838,.1987744965843643,17.5381694789312,184.9823631413666,300.2272771269455,2.473914304175532,3.701411602524144,5.42566571788024,5934,0,306,,,15.2
"104245 (2000 ED135)",2.842925420208171,.07014111771973947,6.250963707812645,141.0351985721263,120.5700304386109,2.643519453640909,3.042331386775432,4.79354051575824,7936,0,510,,,15.2
"104477 (2000 GE21)",2.880494478719232,.07879672485067543,1.270727108184549,317.352609266632,266.0068829958317,2.653520947845703,3.107468009592761,4.88887319529996,6445,0,499,,,15.5
"104558 (2000 GQ68)",3.01757739193704,.09799049230938271,2.841541621129331,197.4018423142351,355.2553826098269,2.721883497719467,3.313271286154614,5.24198565555251,9035,0,545,,,15.1
"104559 (2000 GZ70)",2.905178995527264,.1296820267208993,3.523613829720548,199.0179537812622,14.5739498991693,2.528429495400302,3.281928495654227,4.95185073994089,7835,0,604,,,15.1
"104661 (2000 GA139)",3.040039729426187,.1332689612592806,13.25010720194511,65.79084420539942,169.5071079979292,2.634896792498615,3.445182666353759,5.3006251304504,9072,0,290,,,15.3
"104769 (2000 HV26)",2.940819430155937,.07995187094043679,1.617061500774949,191.0482764215655,109.6631584189281,2.705695414616981,3.175943445694894,5.04325283058382,6444,0,760,,,15.1
